,Temperature (K),Pb,Sn,Ge,Te,Se,S,PbTe,PbSe,PbS,SnTe,SnSe,SnS,GeTe,GeSe,GeS,Number_of_Configs,Hmix (meV/fu),Free Energy (meV/fu),Uncertainty (meV/fu),Smix_HT,Vegards E_hull,var_vol_norm,Hmix_unk (meV/fu)
24,600,0.333333333,0.333333333,0.333333333,0,0,1,0,0,0.333333333,0,0,0.333333333,0,0,0.333333333,24,82.82914429,26.24521729,1.633043089,0.094671079,60.14359467,0.007689961,22.68554962
25,600,1,0,0,0.166666667,0,0.833333333,0.166666667,0,0.833333333,0,0,0,0,0,0,50,50.95551623,27.82568437,1.914564882,0.03882636,0,0.011177912,50.95551623
26,600,0,0.5,0.5,0,1,0,0,0,0,0,0.5,0,0,0.5,0,50,26.84657691,-8.871831704,1.415370008,0.059730801,12.562772,0.004618622,14.28380491
27,600,1,0,0,0.833333333,0.166666667,0,0.833333333,0.166666667,0,0,0,0,0,0,0,50,19.44785421,-3.827994387,0.642051661,0.03882636,0,0.00334437,19.44785421
28,600,0.5,0.5,0,0,1,0,0,0.5,0,0,0.5,0,0,0,0,50,13.33932372,-22.49201336,0.31198179,0.059730801,2.571788,0.001075183,10.76753572
29,600,1,0,0,0.833333333,0,0.166666667,0.833333333,0,0.166666667,0,0,0,0,0,0,50,42.35866831,19.13752861,1.250105829,0.03882636,0,0.007905032,42.35866831
30,600,1,0,0,0.583333333,0.416666667,0,0.583333333,0.416666667,0,0,0,0,0,0,0,50,30.16454231,-4.898846648,0.881159472,0.058528345,0,0.006334602,30.16454231
31,600,1,0,0,0.416666667,0.166666667,0.416666667,0.416666667,0.166666667,0.416666667,0,0,0,0,0,0,49,64.54581302,11.65164398,1.59238109,0.088602027,0,0.014429349,64.54581302
32,600,0,0.5,0.5,0,0,1,0,0,0,0,0,0.5,0,0,0.5,27,108.9660953,73.5449292,2.748255288,0.059730801,90.215392,0.005396353,18.75070326
33,600,1,0,0,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0,0,0,0,0,0,200,53.06146208,-3.524784521,0.801187931,0.094671079,0,0.011899682,53.06146208
34,600,0.5,0.5,0,0,0,1,0,0,0.5,0,0,0.5,0,0,0,50,51.70058668,15.88052697,0.476637952,0.059730801,36.300526,0.001127019,15.40006068
35,600,1,0,0,0.083333333,0.916666667,0,0.083333333,0.916666667,0,0,0,0,0,0,0,50,13.11884576,-1.707742585,0.357417621,0.024717612,0,0.00235585,13.11884576
36,600,1,0,0,0.25,0.5,0.25,0.25,0.5,0.25,0,0,0,0,0,0,50,44.13807047,-9.421674406,1.329726541,0.089596201,0,0.009198592,44.13807047
37,600,1,0,0,0.5,0.25,0.25,0.5,0.25,0.25,0,0,0,0,0,0,50,54.26611339,0.857265209,1.816744484,0.089596201,0,0.011998156,54.26611339
